Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
7,90,5.68,12.64,-18.73
7,90,5.84,12.988,-18.46
7,90,6,13.02,-18.52
7,90,6.16,13.39,-18.65
7,90,6.32,13.082,-20.41
7,90,6.48,13.274,-20.81
7,90,6.64,13.092,-21.3
7,90,6.8,13.44,-20.06
7,90,6.96,13.668,-20.66
7,90,7.12,13.664,-20.93
7,90,7.28,13.718,-20.66
7,90,7.44,13.654,-20.68
7,90,7.6,13.66,-19.74
7,90,7.76,13.392,-21.83
7,90,7.92,13.828,-20.8
7,90,8.08,13.924,-20.88
7,90,8.24,13.938,-21.17
7,90,8.4,14.03,-21.35
7,90,8.56,14.068,-22.21
7,90,8.72,13.852,-23.45
7,90,8.88,14.212,-22.93
7,90,9.04,14.206,-23.58
7,90,9.2,14.25,-24.61
7,90,9.36,14.266,-23.8
7,90,9.52,13.998,-24.38
7,90,9.68,13.81,-25.08
7,90,9.84,13.714,-25.4
7,90,10,13.73,-25.34
7,90,10.16,13.602,-26.04
7,90,10.32,13.758,-25.87
7,90,10.48,13.822,-25.71
7,90,10.64,13.842,-26.17
7,90,10.8,13.71,-26.56
7,90,10.96,13.744,-26.24
7,90,11.12,13.774,-26.47
7,90,11.28,13.334,-27.11
7,90,11.44,13.328,-27.42
7,90,11.6,12.96,-27.91
7,90,11.76,12.966,-28.15
7,90,11.92,12.816,-28.31
7,90,12.08,12.9,-29.29
7,90,12.24,13.126,-29.13
7,90,12.4,13.38,-29.28
7,90,12.56,13.28,-30.79
7,90,12.72,13.926,-30.63
7,90,12.88,14.164,-31.04
7,90,13.04,13.952,-32.55
7,90,13.2,14.9,-31.88
7,90,13.36,14.796,-31.42
7,90,13.52,15.048,-30.96
7,90,13.68,15.19,-31.49
7,90,13.84,15.022,-32.46
7,90,14,15.15,-32.7
7,90,14.16,15.224,-33
7,90,14.32,15.384,-33.57
7,90,14.48,14.176,-37.65
7,90,14.64,15.406,-34.05
7,90,14.8,14.69,-33.32
7,90,14.96,15.018,-32.11
7,90,15.12,15.06,-31.37
7,90,15.28,14.74,-31.81
