Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
0,2,16.56,-11.798,-60.73
0,2,16.72,-11.868,-61.35
0,2,16.88,-11.994,-62.46
0,2,17.04,-10.546,-61.8
0,2,17.2,-16.3,-68.73
0,2,17.36,-21.326,-73.97
0,2,17.52,-14.806,-67.34
0,2,17.68,-17.552,-70.63
0,2,17.84,-16.658,-69.57
0,2,18,-24.4,-77.21
0,3,2,-4.74,-26.53
0,3,2.16,-7.028,-30.44
0,3,2.32,-8.706,-34.36
0,3,2.48,-11.764,-39.01
0,3,2.64,-13.478,-42.19
0,3,2.8,-24.56,-51.62
0,3,2.96,-8.338,-36.65
0,3,3.12,-8.866,-37.1
0,3,3.28,-6.482,-36.5
0,3,3.44,-4.232,-32.88
0,3,3.6,-6.57,-34.02
0,3,3.76,-11.024,-40.51
0,3,3.92,-11.692,-39.24
0,3,4.08,-12.332,-40
0,3,4.24,-14.546,-43.57
0,3,4.4,-10.94,-40.75
0,3,4.56,-14.606,-44.42
0,3,4.72,-16.834,-46.82
0,3,4.88,-12.76,-42.89
0,3,5.04,-11.01,-41.06
0,3,5.2,-9.13,-40.55
0,3,5.36,-7.34,-38.14
0,3,5.52,-5.748,-36.03
0,3,5.68,-5.21,-36.58
0,3,5.84,-7.512,-38.96
0,3,6,-11.05,-42.59
0,3,6.16,-11,-43.04
0,3,6.32,-16.688,-50.18
0,3,6.48,-21.896,-55.98
0,3,6.64,-20.688,-55.08
0,3,6.8,-28.85,-62.35
0,3,6.96,-16.132,-50.46
0,3,7.12,-11.996,-46.59
0,3,7.28,-9.412,-43.79
0,3,7.44,-9.906,-44.24
0,3,7.6,-8.78,-42.18
0,3,7.76,-6.758,-41.98
0,3,7.92,-8.092,-42.72
0,3,8.08,-9.986,-44.79
0,3,8.24,-13.922,-49.03
0,3,8.4,-22.69,-58.07
0,3,8.56,-20.272,-56.55
0,3,8.72,-19.268,-56.57
0,3,8.88,-20.868,-58.01
0,3,9.04,-20.884,-58.67
0,3,9.2,-16.45,-55.31
0,3,9.36,-14.294,-52.36
0,3,9.52,-13.682,-52.06
0,3,9.68,-12.25,-51.14
0,3,9.84,-9.486,-48.6
0,3,10,-10.02,-49.09
0,3,10.16,-11.908,-51.55
0,3,10.32,-13.142,-52.77
0,3,10.48,-15.878,-55.41
0,3,10.64,-21.638,-61.65
0,3,10.8,-20.76,-61.03
0,3,10.96,-16.536,-56.52
0,3,11.12,-15.746,-55.99
0,3,11.28,-20.066,-60.51
0,3,11.44,-21.042,-61.79
0,3,11.6,-16.5,-57.37
0,3,11.76,-11.474,-52.59
0,3,11.92,-10.584,-51.71
0,3,12.08,-10.38,-52.57
0,3,12.24,-11.144,-53.4
0,3,12.4,-10.98,-53.64
0,3,12.56,-14.54,-58.61
0,3,12.72,-16.454,-61.01
0,3,12.88,-21.366,-66.57
0,3,13.04,-26.778,-73.28
0,3,13.2,-17.65,-64.43
0,3,13.36,-16.504,-62.72
0,3,13.52,-27.552,-73.56
0,3,13.68,-20.46,-67.14
0,3,13.84,-15.788,-63.27
0,3,14,-16.23,-64.08
0,3,14.16,-10.636,-58.86
0,3,14.32,-11.986,-60.94
0,3,14.48,-9.39399999999999,-61.22
0,3,14.64,-10.004,-59.46
0,3,14.8,-14.19,-62.2
0,3,14.96,-14.722,-61.85
0,3,15.12,-18.48,-64.91
0,3,15.28,-20.17,-66.72
0,3,15.44,-20.316,-66.63
0,3,15.6,-18.68,-65.31
0,3,15.76,-18.788,-65.98
0,3,15.92,-23.912,-71.09
0,3,16.08,-14.642,-62.1
0,3,16.24,-14.114,-62.24
0,3,16.4,-12.4,-62.21
0,3,16.56,-12.158,-61.09
0,3,16.72,-13.838,-63.32
0,3,16.88,-13.484,-63.95
0,3,17.04,-11.526,-62.78
0,3,17.2,-15.45,-67.88
0,3,17.36,-20.146,-72.79
0,3,17.52,-14.796,-67.33
