Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
-173,90,9.36,-18.334,-56.4
-173,90,9.68,-19.87,-58.76
-173,90,10,-20.77,-59.84
-173,90,10.32,-17.382,-57.01
-173,90,10.64,-22.148,-62.16
-173,90,10.96,-23.126,-63.11
-173,90,11.28,-27.646,-68.09
-173,90,11.6,-28.24,-69.11
-173,90,11.92,-23.634,-64.76
-173,90,12.24,-20.474,-62.73
-173,90,12.56,-21.58,-65.65
-173,90,12.88,-23.406,-68.61
-173,90,13.2,-36.58,-83.36
-173,90,13.52,-21.592,-67.6
-173,90,13.84,-20.958,-68.44
-173,90,14.16,-26.006,-74.23
-173,90,14.48,-22.084,-73.91
-173,90,14.8,-33.22,-81.23
-173,90,15.12,-23.23,-69.66
-173,90,15.44,-26.986,-73.3
-173,90,15.76,-23.128,-70.32
-173,90,16.08,-33.902,-81.36
-173,90,16.4,-20.42,-70.23
-173,90,16.72,-22.208,-71.69
-173,90,17.04,-24.186,-75.44
-173,90,17.36,-21.516,-74.16
-173,90,17.68,-24.852,-77.93
-173,90,18,-19.16,-71.97
-172,90,2,-9.89,-31.68
-172,90,2.32,-9.986,-35.64
-172,90,2.64,-11.558,-40.27
-172,90,2.96,-5.88800000000001,-34.2
-172,90,3.28,-7.93200000000001,-37.95
-172,90,3.6,-10.41,-37.86
-172,90,3.92,-14.172,-41.72
-172,90,4.24,-17.926,-46.95
-172,90,4.56,-9.996,-39.81
-172,90,4.88,-15.83,-45.96
-172,90,5.2,-13.32,-44.74
-172,90,5.52,-14.608,-44.89
-172,90,5.84,-16.312,-47.76
-172,90,6.16,-15.31,-47.35
-172,90,6.48,-17.396,-51.48
-172,90,6.8,-18.1,-51.6
-172,90,7.12,-22.216,-56.81
-172,90,7.44,-17.006,-51.34
-172,90,7.76,-16.608,-51.83
-172,90,8.08,-19.046,-53.85
-172,90,8.4,-21,-56.38
-172,90,8.72,-16.638,-53.94
-172,90,9.04,-19.264,-57.05
-172,90,9.36,-19.444,-57.51
-172,90,9.68,-19.64,-58.53
-172,90,10,-18.5,-57.57
-172,90,10.32,-18.802,-58.43
-172,90,10.64,-23.408,-63.42
-172,90,10.96,-22.556,-62.54
-172,90,11.28,-24.946,-65.39
-172,90,11.6,-31.33,-72.2
-172,90,11.92,-25.994,-67.12
-172,90,12.24,-24.484,-66.74
-172,90,12.56,-20.09,-64.16
