Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
0,-172,6.8,-15.04,-48.54
0,-172,7.12,-10.286,-44.88
0,-172,7.44,-7.386,-41.72
0,-172,7.76,-5.118,-40.34
0,-172,8.08,-14.626,-49.43
0,-172,8.4,-10.78,-46.16
0,-172,8.72,-6.038,-43.34
0,-172,9.04,-17.044,-54.83
0,-172,9.36,-8.774,-46.84
0,-172,9.68,-7.3,-46.19
0,-172,10,-10.84,-49.91
0,-172,10.32,-5.442,-45.07
0,-172,10.64,-12.728,-52.74
0,-172,10.96,-12.676,-52.66
0,-172,11.28,-12.796,-53.24
0,-172,11.6,-2.09,-42.96
0,-172,11.92,-3.224,-44.35
0,-172,12.24,-2.874,-45.13
0,-172,12.56,-10.58,-54.65
0,-172,12.88,-29.736,-74.94
0,-172,13.2,-1.73,-48.51
0,-172,13.52,-0.661999999999999,-46.67
0,-172,13.84,-1.188,-48.67
0,-172,14.16,-4.21599999999999,-52.44
0,-172,14.48,-1.944,-53.77
0,-172,14.8,-3.21,-51.22
0,-172,15.12,-15.59,-62.02
0,-172,15.44,-11.436,-57.75
0,-172,15.76,-16.348,-63.54
0,-172,16.08,-7.402,-54.86
0,-172,16.4,-20.53,-70.34
0,-172,16.72,-12.768,-62.25
0,-172,17.04,-23.906,-75.16
0,-172,17.36,-18.686,-71.33
0,-172,17.68,-25.852,-78.93
0,-172,18,-16.59,-69.4
0,-171,2,-8.16,-29.95
0,-171,2.32,-6.526,-32.18
0,-171,2.64,-23.658,-52.37
0,-171,2.96,-2.768,-31.08
0,-171,3.28,-4.122,-34.14
0,-171,3.6,-12.57,-40.02
0,-171,3.92,-18.022,-45.57
0,-171,4.24,-4.796,-33.82
0,-171,4.56,-9.086,-38.9
0,-171,4.88,-4.59999999999999,-34.73
0,-171,5.2,-7.72,-39.14
0,-171,5.52,-3.578,-33.86
0,-171,5.84,-3.502,-34.95
0,-171,6.16,-19.76,-51.8
0,-171,6.48,-16.186,-50.27
0,-171,6.8,-16.26,-49.76
0,-171,7.12,-10.876,-45.47
0,-171,7.44,-7.906,-42.24
0,-171,7.76,-4.738,-39.96
0,-171,8.08,-11.826,-46.63
0,-171,8.4,-12.8,-48.18
0,-171,8.72,-6.968,-44.27
0,-171,9.04,-24.044,-61.83
0,-171,9.36,-8.504,-46.57
0,-171,9.68,-10.26,-49.15
0,-171,10,-8.78,-47.85
0,-171,10.32,-5.512,-45.14
0,-171,10.64,-12.078,-52.09
0,-171,10.96,-9.396,-49.38
0,-171,11.28,-15.316,-55.76
0,-171,11.6,-1.53,-42.4
0,-171,11.92,-5.084,-46.21
0,-171,12.24,-4.084,-46.34
0,-171,12.56,-8.24999999999999,-52.32
0,-171,12.88,-20.806,-66.01
0,-171,13.2,-3.5,-50.28
0,-171,13.52,-0.521999999999998,-46.53
0,-171,13.84,-2.968,-50.45
0,-171,14.16,-2.766,-50.99
0,-171,14.48,-3.75399999999999,-55.58
0,-171,14.8,-2.29,-50.3
0,-171,15.12,-13.7,-60.13
0,-171,15.44,-24.246,-70.56
0,-171,15.76,-31.278,-78.47
0,-171,16.08,-8.582,-56.04
0,-171,16.4,-22.85,-72.66
0,-171,16.72,-13.658,-63.14
0,-171,17.04,-17.656,-68.91
0,-171,17.36,-13.006,-65.65
0,-171,17.68,-22.782,-75.86
0,-171,18,-22.47,-75.28
0,-170,2,-9.33,-31.12
0,-170,2.32,-6.056,-31.71
0,-170,2.64,-22.838,-51.55
0,-170,2.96,-2.868,-31.18
0,-170,3.28,-3.962,-33.98
0,-170,3.6,-12.76,-40.21
0,-170,3.92,-24.302,-51.85
0,-170,4.24,-4.966,-33.99
0,-170,4.56,-9.756,-39.57
0,-170,4.88,-4.94,-35.07
